SEQ;F#;TYPE;DESCRIPT
;1;PROG;
1;2-13;DATA;JODEL
2;14-16;DATA;C130
3;17-19;DATA;PIPER_J3
4;20-22;DATA;STORCH
5;23-25;DATA;BOEING_PT17
6;26-28;DATA;F22_RAPTOR
7;29-32;DATA;MIRAGE_IV
8;33-39;DATA;SUPER_SABRE
9;40-43;DATA;SU_34
10;44-46;DATA;SKYHAWK
11;47-52;DATA;CHUCK_YEAGER
12;72-80;DATA;RR_MERLIN
13;81-85;DATA;ME262
14;86-88;DATA;SKYRAIDER
15;90-92;DATA;METEOR
16;105-108;DATA;SPITFIRE
17;109-110;DATA;AEROPOSTALE
18;111-117;DATA;SAINT_EX
19;119-123;DATA;HELICO_H145
20;124-127;DATA;T33
21;136-138;DATA;RAFALE
22;139-141;DATA;A400_M
23;142-145;DATA;FW190
24;174-176;DATA;F35
25;177-180;DATA;F4U_CORSAIR
26;181-184;DATA;P51_MUSTANG
27;185-188;DATA;SV4_BIS
