SEQ;F#;TYPE;DESCRIPT
;1;PROG;
1;2-5;DATA;IWO JIMA
2;6-10;DATA;GASTON
3;11-16;DATA;DODGE
4;17-21;DATA;GMC
5;22-33;DATA;SHERMAN
6;34-44;DATA;TEK465
7;47-71;DATA;BASTOGNE_44
8;72-80;DATA;RR_MERLIN
9;81-85;DATA;CITROEN_15CV
10;86-90;DATA;CITROEN_2CV
11;96-104;DATA;MG
12;105-108;DATA;SPITFIRE MK9
13;109;DATA;MICKEY01
14;110-114;DATA;SP_VEHICULE
15;115-119;DATA;ME262
16;120-122;DATA;METEOR
17;123-126;DATA;T33
18;127-128;DATA;TINTIN_1
19;129-130;DATA;TINTIN_2
20;131-141;DATA;TEK492P
21;142-147;DATA;CITROEN DS19
22;148-162;DATA;R_1830
23;163-179;DATA;FN_GP
;200-201;PROG;
