SEQ;F#;TYPE;DESCRIPT
;1;PROG;
1;2-5;DATA;IWO JIMA
2;6-10;DATA;GASTON
3;11-16;DATA;DODGE
4;17-21;DATA;GMC
5;22-33;DATA;SHERMAN
6;34-44;DATA;TEK465
7;47-71;DATA;BASTOGNE_44
8;72-80;DATA;RR_MERLIN
9;81-85;DATA;CITROEN_15CV
10;86-90;DATA;CITROEN_2CV
11;96-104;DATA;MG
12;105-108;DATA;SPITFIRE MK9
13;110-114;DATA;SP_VEHICULE
14;115-119;DATA;ME262
15;120-122;DATA;METEOR
16;123-126;DATA;T33
17;127-128;DATA;TINTIN_1
18;129-130;DATA;TINTIN_2
19;131-141;DATA;TEK492P
20;142-147;DATA;CITROEN DS19
;200-201;PROG;
